homelat,homelon,homecontinent,n
13.444304,144.793731,Asia,0
11.803749,-15.180413,Asia,0
4.860416,-58.93018,Asia,0
31.354676,34.308825,Asia,0
22.396428,114.109497,Asia,0
-53.08181,73.504158,Asia,0
15.199999,-86.241905,Asia,0
9.945587,-9.696645,Asia,0
13.443182,-15.310139,Asia,0
71.706936,-42.604303,Asia,0
36.137741,-5.345374,Asia,0
53.41291,-8.24389,Asia,0
49.465691,-2.585278,Asia,0
54.236107,-4.548056,Asia,0
33.854721,35.862285,Asia,0
13.909444,-60.978893,Asia,0
47.166,9.555373,Asia,0
6.428055,-9.429499,Asia,0
16.742498,-62.187366,Asia,0
35.937496,14.375416,Asia,0
-20.348404,57.552152,Asia,0
3.202778,73.22068,Asia,0
35.126413,33.429859,Asia,0
-10.447525,105.690449,Asia,0
21.521757,-77.781167,Asia,0
9.748917,-83.753428,Asia,0
-29.040835,167.954712,Asia,0
12.865416,-85.207229,Asia,0
-21.236736,-159.777671,Asia,0
7.539989,-5.54708,Asia,0
-54.429579,-36.587909,Asia,0
-19.054445,-169.867233,Asia,0
-40.900557,174.885971,Asia,0
21.00789,-10.940835,Asia,0
14.641528,-61.024174,Asia,0
17.33083,145.38469,Asia,0
43.750298,7.412841,Asia,0
18.735693,-70.162651,Asia,0
55.169438,23.881275,Asia,0
49.815273,6.129583,Asia,0
56.879635,24.603189,Asia,0
26.3351,17.228331,Asia,0
31.791702,-7.09262,Asia,0
47.411631,28.369885,Asia,0
22.198745,113.543873,Asia,0
42.708678,19.37439,Asia,0
15.414999,-61.370976,Asia,0
7.131474,171.184478,Asia,0
17.570692,-3.996166,Asia,0
11.825138,42.590275,Asia,0
46.862496,103.846656,Asia,0
23.424076,53.847818,Asia,0
